Position,Game Name,Category,Developer,Rating
1,Sporcle Party: Social Trivia,Top Free Games,"Sporcle, Inc.",4.7
2,Last War: Survival,Top Free Games,FirstFun,4.6
3,PUBG MOBILE,Top Free Games,Tencent Mobile International Limited,4.3
4,Skru,Top Free Games,Ismael Sherif,4.5
5,Screwscapes,Top Free Games,META SLOTS LIMITED,4.4
6,Pizza Ready!,Top Free Games,"Supercent, Inc.",4.6
7,Subway Surfers,Top Free Games,Sybo Games ApS,4.6
8,Take Off Bolts: Screw Puzzle,Top Free Games,Topsmart Mobile Ltd.,4.2
9,My Superstore Simulator,Top Free Games,Playspare,4.5
10,Block Blast!,Top Free Games,Hungry Studio,4.9
11,Ludo Club - Fun Dice Board,Top Free Games,Moonfrog,4.2
1,Minecraft,Top Paid Games,Mojang,4.5
2,Neighbours back From Hell,Top Paid Games,HandyGames,4.4
3,Sprinkle Islands,Top Paid Games,Mediocre AB,3.9
4,RFS - Real Flight Simulator,Top Paid Games,RORTOS SRL,4.6
5,Pou,Top Paid Games,Zakeh Limited,4.1
6,Geometry Dash,Top Paid Games,RobTop Games,4.8
7,My Child Lebensborn,Top Paid Games,Sarajepa Studio AS,4.8
8,Driving Zone: Germany Pro,Top Paid Games,Alexander Sivatsky,4.7
9,Shadow Knight Special Edition,Top Paid Games,Nekki Limited,4.4
10,Daddy Was A Thief,Top Paid Games,Rebel Twins,4.6
11,Garten of Banban 6,Top Paid Games,Euphoric Brothers,4.9
1,Coin Master,Top Grossing Games,Moon Active,4.7
2,Royal Match,Top Grossing Games,Dream Games,4.8
3,Candy Crush Saga,Top Grossing Games,King,4.7
4,PUBG MOBILE,Top Grossing Games,Level Infinite,4.3
5,Roblox,Top Grossing Games,Roblox Corporation,4.5
6,Travel Town - Merge Adventure,Top Grossing Games,Magmatic Games Ltd,4.7
7,MONOPOLY GO!,Top Grossing Games,"Scopely, Inc.",4.8
8,Game of War - Fire Age,Top Grossing Games,"Machine Zone, Inc.",2.2
9,Gardenscapes,Top Grossing Games,Playrix,4.7
10,Homescapes,Top Grossing Games,Playrix,4.7
11,Last War: Survival,Top Grossing Games,FirstFun,4.7
