Category,Game Name,Game Studio,Rating,Cost,Position
Top Free Apps,Supermarket Manager Simulator,Digital Melody,4.7,Free,1
Top Free Apps,Whiteout Survival,Century Games Pte. Ltd.,4.7,Free,2
Top Free Apps,Supermarket Simulator Game 3D,Emir Tarek,4.3,Free,3
Top Free Apps,PUBG MOBILE,Tencent Mobile International Limited,4.3,Free,4
Top Free Apps,Royal Match,Dream Games,4.7,Free,5
Top Free Apps,Subway Surfers,Sybo Games ApS,4.6,Free,6
Top Free Apps,Last War: Survival,FirstFun,4.6,Free,7
Top Free Apps,Roblox,Roblox Corporation,4.5,Free,8
Top Free Apps,Yalla Ludo - Ludo & Domino,Yalla Technology FZ-LLC,4.3,Free,9
Top Free Apps,Pizza Ready!,Supercent,4.6,Free,10
Top Free Apps,Ludo STAR,Gameberry Labs,4.4,Free,11
Top Free Apps,Call of Duty®: Mobile,Activision Publishing,4.7,Free,12
Top Free Apps,Candy Crush Saga,King,4.7,Free,13
Top Free Apps,8 Ball Pool™,Miniclip.com,4.7,Free,14
Top Free Apps,Jawaker: Games & Friends,Jawaker,4.7,Free,15
Top Free Apps,Wood Nuts & Bolts Puzzle,ABIGAMES PTE. LTD,4.5,Free,16
Top Free Apps,Mobile Legends: Bang Bang,Shanghai Moonton Technology Co. Ltd.,4.5,Free,17
Top Free Apps,جواك جوابهم,Abdulrahman Alshimemeri,4.3,Free,18
Top Free Apps,Age of Origins: Tower Defense,Hong Kong Ke Mo software Co. Limited,4.2,Free,19
Top Free Apps,Texas Hold'em Poker: Pokerist,KamaGames,4.6,Free,20
Top Free Apps,Pilko Pyramid,BLUEBELL CLEANS LTD,3.7,Free,21
Top Free Apps,Top War: Battle Game,River Game HK Limited,4.2,Free,22
Top Free Apps,Offline Games - no wifi - fun,720 Media LLC,4.7,Free,23
Top Free Apps,Toon Blast,Peak Games,4.7,Free,24
Top Free Apps,Screw Puzzle: Wood Nut & Bolt,ONESOFT GLOBAL PTE. LTD.,4.3,Free,25
Top Paid Apps,Minecraft,Mojang,4.5,6.99,1
Top Paid Apps,Earn to Die 2,Not Doppler,4.7,0.29,2
Top Paid Apps,MONOPOLY: The Board Game,Marmalade Game Studio,4.7,4.99,3
Top Paid Apps,RFS - Real Flight Simulator,RORTOS SRL,4.6,0.99,4
Top Paid Apps,Geometry Dash,RobTop Games AB,4.5,2.99,5
Top Paid Apps,Heads Up!,Warner Bros.,4.8,1.99,6
Top Paid Apps,Bridge Constructor,Headup GmbH,4.5,0.99,7
Top Paid Apps,الملازم انس | امن الطرق,MARIYYAH ALHARBI,3,4.99,8
Top Paid Apps,Goat Simulator MMO Simulator,Coffee Stain Publishing,4.4,4.99,9
Top Paid Apps,The Manga Works,Kairosoft Co. Ltd,4.2,4.99,10
Top Paid Apps,Silver Screen Story,Kairosoft Co. Ltd,4.7,5.99,11
Top Paid Apps,Hitman Sniper,Deca Live Operations GmbH,4.8,0.99,12
Top Paid Apps,Pocket Build,MoonBear LTD,4.6,0.99,13
Top Paid Apps,The Past Within,Rusty Lake,4.9,2.99,14
Top Paid Apps,Earn to Die,Not Doppler,4.8,0.99,15
Top Paid Apps,Plague Inc.,Ndemic Creations,4.8,0.99,16
Top Paid Apps,Playdead's LIMBO,Playdead,4.6,3.99,17
Top Paid Apps,Pou,Zakeh Limited,4.4,1.99,18
Top Paid Apps,Tick Tock: A Tale for Two,Other Tales Interactive ApS,4.3,2.99,19
Top Paid Apps,Aerofly FS Global,IPACS,3.8,3.99,20
Top Paid Apps,Incredibox,So Far So Good,4.9,4.99,21
Top Paid Apps,Bully: Anniversary Edition,Rockstar Games,4.7,6.99,22
Top Grossing Apps,PUBG MOBILE,Tencent Mobile International Limited,4.3,Free,1
Top Grossing Apps,Call of Duty®: Mobile,Activision Publishing Inc.,4.7,Free,2
Top Grossing Apps,Candy Crush Saga,King,4.7,Free,3
Top Grossing Apps,8 Ball Pool™,Miniclip.com,4.7,Free,4
Top Grossing Apps,Mobile Legends: Bang Bang,Shanghai Moonton Technology Co. Ltd.,4.5,Free,5
Top Grossing Apps,Clash of Clans,Supercell,4.8,Free,6
Top Grossing Apps,Block Blast：Hungry Studio,Hungry Studio,4.9,Free,7
Top Grossing Apps,Gardenscapes,Playrix,4.7,Free,8
Top Grossing Apps,My Perfect Hotel,SayGames LTD,4.7,Free,9
Top Grossing Apps,Free Fire: 7th Anniversary,GARENA INTERNATIONAL I PRIVATE LIMITED,3.9,Free,10
Top Grossing Apps,Homescapes,Playrix,4.6,Free,11
Top Grossing Apps,Last Fortress: Underground,IM30,4.5,Free,12
Top Grossing Apps,Supermarket Simulator Retail,Shiraz Bukhari,2.4,Free,13
Top Grossing Apps,Rise of Kingdoms,Lilith Games,4.5,Free,14
Top Grossing Apps,Squad Busters,Supercell,4.4,Free,15
Top Grossing Apps,Brawl Stars,Supercell,4.7,Free,16
Top Grossing Apps,Toon Blast,Peak Games,4.7,Free,17
Top Grossing Apps,F1 Clash - Car Racing Manager,Hutch Games Ltd,4.6,Free,18
Top Grossing Apps,Coin Master,Moon Active,4.7,Free,19
Top Grossing Apps,Ludo King,GAMETION GLOBAL TECHNOLOGIES PTE LIMITED,3.8,Free,20
Top Grossing Apps,Cut The Paper,Woke Woke,4.1,Free,21
Top Grossing Apps,Match Masters - PvP Match 3,Candivore LTD,4.6,Free,22
Top Grossing Apps,Tik Tock: A Tale for Two,Other Tales Interactive ApS,4.3,2.99,23
Top Grossing Apps,The Past Within,Rusty Lake,4.9,2.99,24
Top Grossing Apps,Top War: Battle Game,River Game HK Limited,4.2,Free,25
